rank,title,season,episode
70,The Big Four,13,02
69,The Labours of Hercules,13,04
68,The Clocks,12,04
67,Appointment with Death,11,04
66,The Lost Mine,02,03
65,The Underdog,05,02
64,The Adventure of the Western Star,02,09
63,How Does Your Garden Grow?,03,02
62,Triangle at Rhodes,01,06
61,The Hollow,09,04
60,The Mystery of the Spanish Chest,03,08
59,"Mrs. McGinty’s Dead",11,01
58,The Plymouth Express,03,04
57,The Incredible Theft,01,08
56,The Million-Dollar Bond Robbery,03,03
55,Problem at Sea,01,07
54,Cards on the Table,10,02
53,Elephants Can Remember,13,01
52,Wasps’ Nest,03,05
51,Dumb Witness,06,04
50,The Murder of Roger Ackroyd,07,01
49,Third Girl,11,03
48,The Adventure of Johnnie Waverly,01,03
47,Dead Man’s Folly,13,03
46,The Kidnapped Prime Minister,02,08
45,The Mystery of the Blue Train,10,01
44,The Adventure of the Italian Nobleman,05,05
43,After the Funeral,10,03
42,"The Mystery of Hunter’s Lodge",3,11
41,Hallowe’en Party,12,02
40,Murder on the Links,06,03
39,Jewel Robbery at the Grand Metropolitan,05,08
38,Taken at the Flood,10,04
37,The Adventure of the Egyptian Tomb,05,01
36,"One, Two, Buckle My Shoe",04,03
35,The Third Floor Flat,01,05
34,Murder in the Mews,01,02
33,The Dream,1,10
32,Double Sin,02,06
31,The Disappearance of Mr. Davenheim,02,05
30,Four and Twenty Blackbirds,01,04
29,The Adventure of the Clapham Cook,01,01
28,The Double Clue,03,07
27,The Affair at the Victory Ball,03,10
26,Hickory Dickory Dock,06,02
25,The Mysterious Affair at Styles,03,01
24,The Tragedy of Marsdon Manor,03,06
23,The Chocolate Box,05,06
22,Murder on the Orient Express,12,03
21,The Yellow Iris,05,03
20,"Hercule Poirot’s Christmas",06,01
19,The Case of the Missing Will,05,04
18,The Adventure of the Cheap Flat,02,07
17,The Veiled Lady,02,02
16,The Theft of the Royal Ruby,03,09
15,Murder in Mesopotamia,08,02
14,Three Act Tragedy,12,01
13,Sad Cypress,09,02
12,The ABC Murders,04,01
11,Death on the Nile,09,03
10,Lord Edgware Dies,07,02
09,The King of Clubs,01,09
08,Dead Man’s Mirror,05,07
07,Death in the Clouds,04,02
06,The Cornish Mystery,02,04
05,Peril at End House,02,01
04,"Curtain: Poirot’s Last Case",13,05
03,Evil Under the Sun,08,01
02,Cat among the Pigeons,11,02
01,Five Little Pigs,09,01
